,Status,AFP,APOBEC3A,ART3,CCL7,CXCL10,CXCL9,DNAH7,GRID2,HTR3A,KRT78,LAMP3,MYLK2,PGBD5,POTEKP,RAET1L,SLC28A2,SOX11,SPHK1,TH,TMEM171,TNRC18P1,TREM1,TTC6,UGT2B15,VRTN
Sample1,0,7.129283017,4.321928095,3.700439718,0,8.22881869,8.573647187,6.285402219,4.754887502,1,0,6.303780748,0,5.672425342,7.098032083,4.087462841,3.807354922,5.727920455,8.366322214,2.807354922,4.169925001,5.087462841,5.781359714,6.169925001,5.129283017,0
Sample2,0,5.832890014,5.584962501,5.087462841,0,7.276124405,7.426264755,5.321928095,6.169925001,4.523561956,1,6,0,6.209453366,8.603626345,4.087462841,4.95419631,4.247927513,8.339850003,3.321928095,4.392317423,5.857980995,4.392317423,5.64385619,6.14974712,0
Sample3,0,8.417852515,6.569855608,5.754887502,0,8.13442632,9.294620749,7.118941073,6.169925001,4.754887502,0,6.832890014,3.807354922,5.832890014,9.368506462,0,5.554588852,6.321928095,9.016808288,4.247927513,4.392317423,6.845490051,5.700439718,6.426264755,5.285402219,1
Sample4,0,4.584962501,5.857980995,4.807354922,0,8.271463028,7.971543554,6.044394119,6.614709844,4,4.584962501,5.285402219,2.584962501,5.523561956,7.312882955,1,4.95419631,4.754887502,8.049848549,2.807354922,1,5.672425342,5.614709844,4.95419631,1,1
Sample5,0,3.807354922,5.247927513,6.832890014,1,8.027905997,8.614709844,5.357552005,5.129283017,4.700439718,0,6.554588852,3.807354922,6.189824559,7.894817763,4.64385619,4.247927513,4.087462841,9.28077077,5.700439718,4.807354922,4.321928095,4.523561956,4.64385619,1,0
Sample6,0,11.73428623,5.614709844,6.189824559,0,7.930737338,7.864186145,9.306061689,6.882643049,0,1,6.672425342,0,5.64385619,12.34096276,0,9.724513853,5.459431619,6.442943496,3.584962501,4.906890596,8.154818109,4.754887502,10.42101286,8.092757141,4.169925001
Sample7,0,4.321928095,4.754887502,4.807354922,0,7.832890014,6.189824559,8.326429487,7.339850003,0,0,5.614709844,2.584962501,4.321928095,9.813781191,1,4.807354922,1,6.108524457,2.807354922,4.087462841,6.22881869,4.95419631,7.451211112,3.584962501,0
Sample8,0,8.005624549,0,5.044394119,0,8.016808288,7.900866808,9.197216693,6.95419631,0,0,6.14974712,0,5.209453366,11.82892983,0,5.584962501,5.247927513,5.357552005,3.459431619,1,7.50779464,3.459431619,9.885696373,8.290018847,0
Sample9,1,6.108524457,8.665335917,7,1,11.93516505,11.67375074,6.50779464,4.64385619,7.339850003,5.523561956,9.636624621,7.055282436,6.64385619,8.727920455,5.321928095,5.392317423,7.54689446,9.144658243,3,5.523561956,4.95419631,5.754887502,6.820178962,0,6.14974712
Sample10,1,0,6.599912842,9.436711542,6.614709844,9.828136484,11.24792751,4.247927513,1,6.06608919,8.707359132,8.45532722,7.851749041,8.971543554,4,6.375039431,5.087462841,8.599912842,8.813781191,4.700439718,4.64385619,3.584962501,4.700439718,3.459431619,0,9.390168956
Sample11,1,0,0,5.523561956,1,8.154818109,8.388017285,6.614709844,0,4,1,5.584962501,7.599912842,5.392317423,5.285402219,1,5.491853096,7.693486957,8.055282436,1,3.700439718,4.087462841,6.357552005,5,1,0
Sample12,1,1,10.03204573,9.802516365,10.84313591,13.55014554,12.93387504,4.857980995,4.321928095,5.930737338,11.05596023,9.733015322,9.071462363,7.169925001,4.700439718,9.453270634,2.807354922,10.60455323,9.436711542,4,7.906890596,3.459431619,8.62935662,8.672425342,0,6.303780748
Sample13,1,0,5.044394119,8.87958325,6.491853096,9.353146825,8.682994584,4.321928095,0,1,4.247927513,6.794415866,7.294620749,7.483815777,4.64385619,5.64385619,1,9.428360173,9.403012024,0,5.554588852,2,7.14974712,1.584962501,0,4
Sample14,1,3.584962501,7.64385619,9.052568051,8.379378367,12.83644491,11.91251514,4.584962501,0,5.554588852,6.754887502,10.38154295,7.392317423,7.95419631,5.392317423,8.209453366,5.247927513,11.66888498,9.535275377,4.64385619,6.599912842,2,7.139551352,1.584962501,0,0
