AFP	APOBEC3A	ART3	CCL7	CXCL10	CXCL9	DNAH7	GRID2	HTR3A	KRT78	LAMP3	MYLK2	PGBD5	POTEKP	RAET1L	SLC28A2	SOX11	SPHK1	TH	TMEM171	TNRC18P1	TREM1	TTC6	UGT2B15	VRTN
sample1	7.12928301694497	4.32192809488736	3.70043971814109	0	8.22881869049588	8.57364718749332	6.28540221886225	4.75488750216347	1	0	6.3037807481771	0	5.6724253419715	7.09803208296053	4.08746284125034	3.8073549220576	5.7279204545632	8.36632221424582	2.8073549220576	4.16992500144231	5.08746284125034	5.78135971352466	6.16992500144231	5.12928301694497	0
sample2	5.83289001416474	5.58496250072116	5.08746284125034	0	7.27612440527424	7.4262647547021	5.32192809488736	6.16992500144231	4.52356195605701	1	6	0	6.20945336562895	8.60362634498619	4.08746284125034	4.95419631038687	4.24792751344359	8.33985000288462	3.32192809488736	4.39231742277876	5.85798099512757	4.39231742277876	5.64385618977472	6.14974711950468	0
sample3	8.4178525148859	6.56985560833095	5.75488750216347	0	8.13442632022093	9.29462074889163	7.11894107272351	6.16992500144231	4.75488750216347	0	6.83289001416474	3.8073549220576	5.83289001416474	9.36850646150769	0	5.55458885167764	6.32192809488736	9.01680828768655	4.24792751344359	4.39231742277876	6.84549005094437	5.70043971814109	6.4262647547021	5.28540221886225	1
sample4	4.58496250072116	5.85798099512757	4.8073549220576	0	8.27146302790437	7.97154355395077	6.04439411935845	6.61470984411521	4	4.58496250072116	5.28540221886225	2.58496250072116	5.52356195605701	7.31288295528436	1	4.95419631038687	4.75488750216347	8.04984854945056	2.8073549220576	1	5.6724253419715	5.61470984411521	4.95419631038687	1	1
sample5	3.8073549220576	5.24792751344359	6.83289001416474	1	8.02790599656988	8.61470984411521	5.35755200461808	5.12928301694497	4.70043971814109	0	6.55458885167764	3.8073549220576	6.18982455888002	7.89481776330794	4.64385618977472	4.24792751344359	4.08746284125034	9.2807707701306	5.70043971814109	4.8073549220576	4.32192809488736	4.52356195605701	4.64385618977472	1	0
sample6	11.7342862320963	5.61470984411521	6.18982455888002	0	7.93073733756289	7.86418614465428	9.30606168942834	6.88264304936184	0	1	6.6724253419715	0	5.64385618977472	12.3409627642517	0	9.72451385311995	5.4594316186373	6.44294349584873	3.58496250072116	4.90689059560852	8.1548181090521	4.75488750216347	10.4210128557792	8.09275714091985	4.16992500144231
sample7	4.32192809488736	4.75488750216347	4.8073549220576	0	7.83289001416474	6.18982455888002	8.3264294871223	7.33985000288462	0	0	5.61470984411521	2.58496250072116	4.32192809488736	9.81378119121704	1	4.8073549220576	1	6.10852445677817	2.8073549220576	4.08746284125034	6.22881869049588	4.95419631038687	7.45121111183233	3.58496250072116	0
sample8	8.00562454919388	0	5.04439411935845	0	8.01680828768655	7.90086680798075	9.19721669311005	6.95419631038687	0	0	6.14974711950468	0	5.20945336562895	11.8289298276515	0	5.58496250072116	5.24792751344359	5.35755200461808	3.4594316186373	1	7.5077946401987	3.4594316186373	9.88569637333939	8.29001884693262	0
sample9	6.10852445677817	8.66533591718518	7	1	11.9351650496037	11.6737507394381	6.5077946401987	4.64385618977472	7.33985000288462	5.52356195605701	9.63662462054365	7.05528243550119	6.64385618977472	8.7279204545632	5.32192809488736	5.39231742277876	7.54689445988764	9.14465824283188	3	5.52356195605701	4.95419631038687	5.75488750216347	6.82017896241519	0	6.14974711950468
sample10	0	6.59991284218713	9.43671154213721	6.61470984411521	9.82813648419411	11.2479275134436	4.24792751344359	1	6.06608919045777	8.70735913208088	8.45532722030456	7.85174904141606	8.97154355395077	4	6.37503943134692	5.08746284125034	8.59991284218713	8.81378119121704	4.70043971814109	4.64385618977472	3.58496250072116	4.70043971814109	3.4594316186373	0	9.39016895620018
sample11	0	0	5.52356195605701	1	8.1548181090521	8.38801728534514	6.61470984411521	0	4	1	5.58496250072116	7.59991284218713	5.39231742277876	5.28540221886225	1	5.49185309632967	7.69348695749933	8.05528243550119	1	3.70043971814109	4.08746284125034	6.35755200461808	5	1	0
